,Date,Event / Info,Source,Type
,4/1/25,"The Task Force on Antisemitism (comprising officials from the Department of Education, the Department of Health & Human Services, and the General Services Administration) launched a sweeping review of more than $8.9 billion in federal contracts and multi-year grants to Harvard University and its affiliates, citing Harvard’s “failure to protect students on campus from anti-Semitic discrimination — all while promoting divisive ideologies over free inquiry.” ",https://www.ed.gov/about/news/press-release/ed-hhs-and-gsa-initiate-federal-contract-and-grant-review-of-harvard-university,
,4/3/25," The same three agencies (ED, HHS, GSA) sends Harvard a follow-up letter outlining preconditions",april-3-harvard-preconditions-letter.pdf,
,04/03/25,"Harvard College places the Palestine Solidarity Committee (PSC) on probation and banned it from hosting public events until July, citing campus policy violations during a Tuesday rally outside University Hall. ",https://www.thecrimson.com/article/2025/4/3/psc-probation-university-hall-rally/,
,4/7/25?,Garber responds to initial federal letter by stating that there is significant shared purpose between Harvard and federal govt,,
,04/11/25,"The same three agencies issue a formal, detailed letter to President Alan Garber and Harvard Corporation “lead member” Penny Pritzker. Superseding the April 3 letter, this one spells out explicit requirements that Harvard needs to accept to preserve its financial relationship with the federal government.
",https://www.harvard.edu/research-funding/wp-content/uploads/sites/16/2025/04/Letter-Sent-to-Harvard-2025-04-11.pdf,
,04/14/25,Harvard's legal counsel replies with a letter to the government; President Garber sends a message to the community. Harvard publishes both,"https://www.harvard.edu/research-funding/wp-content/uploads/sites/16/2025/04/Harvard-Response-2025-04-14.pdf

https://www.harvard.edu/president/news/2025/the-promise-of-american-higher-education/ ",
,04/14/25,The Trump administration freezes $2.2 billion in Harvard's active multi-year grants and $60 million in contracts,https://www.ed.gov/about/news/press-release/joint-task-force-combat-anti-semitism-statement-regarding-harvard-university,
,04/15/25,Trump states on Truth Social that the IRS should review Harvard's tax-exempt status,https://www.nytimes.com/2025/04/15/us/politics/trump-harvard-tax-status.html,
,04/16/25,Reports surface that the Treasury Department asked IRS to consider revoking Harvard’s tax-exempt status,https://www.nytimes.com/2025/04/16/us/politics/trump-irs-harvard.html?utm_source=Stand+Columbia+Society&utm_campaign=be570a2a8b-EMAIL_CAMPAIGN_11_4_2024_22_35_COPY_01&utm_medium=email&utm_term=0_69ed38d2fc-be570a2a8b-33530,
,04/17/25,"ED reopens a foreign funding probe into Harvard, citing “incomplete and inaccurate” disclosures and requesting thousands of pages of documentation. ",https://www.ed.gov/media/document/notice-of-investigation-harvard-university-april-17-2025-109861.pdf,
,,"Department of Homeland Security warns that Harvard could be removed from the Student and Exchange Visitor Program, which would block it from enrolling international students.
",https://www.nytimes.com/interactive/2025/04/17/us/harvard-letter-signed.html ,
,,"The House Oversight Committee launches its own investigation, accusing Harvard of “advocating for illegal discrimination” and demanding internal records across hiring, admissions, DEI, and foreign donations.
",https://oversight.house.gov/wp-content/uploads/2025/04/Letter-to-Harvard-re-Title-VI-Compliance-04172025.pdf,
,04/18/25,Anonymous White House sources tell reporters the April 11 letter to Harvard had been sent out in error. ,https://www.nytimes.com/2025/04/18/business/trump-harvard-letter-mistake.html,
